Date,CIPLA.NS,HCLTECH.NS,INFY.NS,LT.NS,LUPIN.NS,MARUTI.NS,ONGC.NS,SUNPHARMA.NS,TECHM.NS,WIPRO.NS,NSE Index
7/14/2018,432.649994,362.237488,403.15625,1064.966675,1057.900024,2509.649902,268.5,738,509.649994,202.050049,7526.649902
7/15/2018,431.850006,365.625,403.206238,1089.099976,1056.25,2518.449951,275.100006,739.700012,515.6875,200.943802,7624.399902
7/16/2018,432.149994,367.412506,403.700012,1106.033325,1064.449951,2572.149902,277.399994,744.900024,519.362488,200.737549,7640.450195
7/17/2018,437.049988,366.700012,404.912506,1112.633301,1091.650024,2560.350098,275.5,743,525.112488,201.506302,7663.899902
7/18/2018,441.350006,375.0625,406.443756,1124.333374,1088,2524.600098,273.666656,742.25,530.450012,205.143799,7684.200195
7/21/2018,438.299988,377.012512,400.087494,1113.5,1082.199951,2541.350098,271.133331,743.700012,527.287476,204.356308,7767.850098
7/22/2018,441.25,382.225006,404.212494,1103.300049,1097.300049,2513.399902,272.600006,750.599976,533.837524,209.531296,7795.75
7/23/2018,442,385.75,418.681244,1102.366699,1091.150024,2490.050049,270.200012,748.849976,537.575012,214.087555,7830.600098
7/24/2018,439.549988,395.625,422.78125,1108.966675,1094.400024,2498.699951,269.933319,748.200012,544.662476,216.318802,7790.450195
7/25/2018,445.649994,395.587494,419.024994,1105.333374,1129.900024,2509.300049,267.399994,782.200012,544.174988,206.643799,7748.700195
7/28/2018,440.950012,403.587494,421.387512,1094.06665,1118.650024,2505.5,263.233337,789.150024,547.762512,208.893799,7791.399902
7/30/2018,448.200012,399.387512,421.524994,1016.06665,1173.5,2552.449951,265.966675,790.450012,540.349976,206.531296,7721.299805
7/31/2018,456.5,388.774994,420.956238,1001.93335,1181.75,2524.050049,263.566681,790.950012,537.650024,204.150055,7602.600098
08-01-2022,442.5,378.8125,417.662506,979.133362,1165.400024,2586,257.566681,768.799988,531.8125,201.000046,7683.649902
08-04-2022,440.799988,388.75,433.193756,995.966675,1177.599976,2645.699951,261.833344,761.700012,541.775024,205.743805,7746.549805
08-05-2022,440.5,386.112488,439.125,993.366638,1176.5,2665.850098,270.166656,773.799988,546.924988,206.081299,7672.049805
08-06-2022,435.600006,386.912506,446.981262,988.866638,1166.199951,2637,264.600006,759.799988,551.212524,206.775055,7649.25
08-07-2022,434.950012,379.5625,438.418762,987.93335,1161.650024,2649.399902,266.700012,758.849976,552.6875,207.243805,7568.549805
08-08-2022,436.700012,383.200012,435.331238,961.866638,1160.449951,2622.600098,262.799988,760.400024,547.162476,205.518799,7625.950195
08-11-2022,437.5,378.825012,446.6875,975.166687,1158.849976,2664.550049,262.466675,764.5,540.299988,203.606293,7727.049805
08-12-2022,444.850006,379.287506,447.100006,992.733337,1164.699951,2664.25,270.366669,785.25,541.400024,203.906296,7739.549805
8/13/2018,440.350006,390.037506,451.049988,969.06665,1164.75,2650.949951,268,802.599976,536.974976,206.343796,7791.700195
